claim_id,policy_start,incident_date,claim_amount,state,vehicle_type,incident_type,fact_of_loss,reported_by,policy_limit,insured_age,prior_claims_count,fraud_flag,severity_score,days_to_incident
I64CIYHE7,2022-08-05,2023-08-05,483.44,AK,Van,Rear-end Collision,V1 struck V2 while reversing from parking spot,insured,48344,35,1,0,0.01,365
UR23GDPPQ,2022-01-03,2022-06-13,4690.08,ND,Coupe,Rear-end Collision,V1 was damaged by falling tree during storm,claimant,19542,21,3,0,0.24,161
0Y9DOM5IG,2022-03-10,2022-12-06,15870.0,IN,Sedan,Rear-end Collision,V1 was damaged by falling tree during storm,insured,17250,75,5,0,0.92,271
QPKI7P5TB,2019-11-08,2020-11-07,5748.64,IL,Truck,Side-impact,V2 entered wrong lane and collided with V1,claimant,30256,55,4,0,0.19,365
94874FRHO,2018-12-02,2018-12-07,150.87,MT,Truck,Theft,V2 turned left and struck the side of V1,claimant,15087,74,0,1,0.01,5
CN9J2QP89,2021-12-09,2022-01-15,88845.82,MT,Coupe,Theft,V1 was missing after being parked overnight,claimant,90659,79,5,1,0.98,37
UZFK8UT0C,2022-03-13,2023-02-24,17000.0,CO,SUV,Theft,V1 was damaged by falling tree during storm,insured,100000,48,0,0,0.17,348
VS4F8CGVY,2018-06-18,2018-07-29,47711.13,NY,Coupe,Side-impact,Hailstorm caused significant roof and hood damage to V1,claimant,90021,59,1,0,0.53,41
IE6IVWPVS,2021-09-10,2021-11-16,34796.26,VT,Sedan,Weather Damage,V2 entered wrong lane and collided with V1,insured,56123,52,3,0,0.62,67
7HZIOYKL1,2021-04-29,2022-03-23,16419.84,KY,Coupe,Rear-end Collision,Hailstorm caused significant roof and hood damage to V1,claimant,25656,52,1,0,0.64,328
CQ99CHJ75,2020-08-02,2021-04-11,13650.0,MT,Sedan,Side-impact,V1 struck V2 while reversing from parking spot,claimant,15000,56,0,0,0.91,252
5NF4ZW9XA,2018-08-21,2018-12-09,11128.32,KY,Coupe,Theft,V2 crossed centerline and hit V1 head-on,claimant,48384,38,5,1,0.23,110
3KX7EEDTJ,2018-07-11,2018-07-16,72962.82,WA,Van,Theft,V1 was damaged by falling tree during storm,claimant,92358,29,0,1,0.79,5
VZHWJR64D,2018-10-13,2019-02-09,9859.96,WA,Coupe,Rear-end Collision,V1 was reported stolen from insured’s driveway,insured,22409,46,1,0,0.44,119
PJA1WJ0TP,2021-09-27,2022-07-20,71721.0,TX,Coupe,Weather Damage,V1 was damaged by falling tree during storm,insured,95628,53,1,0,0.75,296
AC56T4UFE,2018-03-14,2018-07-09,8622.24,AL,Truck,Rear-end Collision,V1 was missing after being parked overnight,claimant,18744,45,1,0,0.46,117
L6246HID2,2019-09-03,2019-09-08,57000.0,FL,Van,Head-on Collision,V1 was reported stolen from insured’s driveway,claimant,100000,76,4,1,0.57,5
5OWF75935,2018-11-15,2018-12-29,1551.36,AZ,Coupe,Theft,V1 was missing after being parked overnight,claimant,51712,38,5,1,0.03,44
A0L7253J2,2020-02-01,2020-04-27,10279.0,SC,Sedan,Head-on Collision,V1 struck V2 while reversing from parking spot,insured,20558,36,1,0,0.5,86
D54I3QK2I,2021-01-21,2021-08-26,11713.14,AS,Sedan,Weather Damage,V2 turned left and struck the side of V1,insured,21691,59,1,0,0.54,217
AGL58KXO9,2019-07-19,2020-05-13,3996.15,UT,Coupe,Side-impact,V2 crossed centerline and hit V1 head-on,claimant,26641,18,5,0,0.15,299
T7E8G8JDP,2020-06-04,2020-06-09,930.57,VT,Truck,Side-impact,V2 turned left and struck the side of V1,claimant,93057,32,1,0,0.01,5
0LVSNUJZA,2022-06-27,2023-05-02,64000.0,AK,Truck,Rear-end Collision,V2 entered wrong lane and collided with V1,claimant,100000,26,0,0,0.64,309
7TZ0YNCXL,2021-08-19,2022-06-24,51000.0,IA,Sedan,Weather Damage,V2 crossed centerline and hit V1 head-on,insured,100000,41,1,0,0.51,309
L4ZKLOOKE,2020-03-22,2020-12-13,2610.53,IN,Van,Rear-end Collision,V2 crossed centerline and hit V1 head-on,insured,20081,72,2,0,0.13,266
P7Y6WKTAK,2018-06-18,2019-04-05,7702.56,IN,SUV,Backing Collision,V2 entered wrong lane and collided with V1,insured,21396,80,0,0,0.36,291
PUXQPHR62,2020-07-04,2021-07-04,3773.84,WV,SUV,Rear-end Collision,V2 was behind V1 when it began backing up,claimant,47173,18,1,0,0.08,365
GDSWM31YI,2022-05-21,2022-05-26,8400.0,VT,Sedan,Head-on Collision,V1 was missing after being parked overnight,claimant,15000,40,3,1,0.56,5
HAIR4COWG,2020-04-08,2020-12-26,35381.04,IL,Truck,Head-on Collision,V2 turned left and struck the side of V1,claimant,93108,74,1,0,0.38,262
ZRIXA11DP,2021-05-23,2022-01-09,33588.36,AK,Van,Weather Damage,V2 was behind V1 when it began backing up,claimant,86124,71,1,0,0.39,231
G8SBI4Q2Y,2021-08-31,2022-08-31,38329.59,CO,Coupe,Weather Damage,V2 crossed centerline and hit V1 head-on,insured,98281,58,2,0,0.39,365
9V86WZS3T,2019-03-09,2019-03-14,11119.44,OR,Truck,Weather Damage,V1 struck V2 while reversing from parking spot,insured,92662,79,5,1,0.12,5
60RJIW1SW,2019-08-21,2019-11-29,20418.71,AK,SUV,Weather Damage,Hailstorm caused significant roof and hood damage to V1,claimant,88777,74,5,1,0.23,100
JCKJLTEIY,2022-05-14,2022-06-09,9664.03,CO,Sedan,Rear-end Collision,V2 rear-ended V1 while stopped at a red light,claimant,26119,77,1,0,0.37,26
ZCOTOHP6V,2020-02-03,2020-02-25,150.0,MH,Sedan,Theft,V2 rear-ended V1 while stopped at a red light,insured,15000,80,2,0,0.01,22
Z41NAM148,2018-04-02,2018-11-02,11561.4,WA,Truck,Side-impact,Hailstorm caused significant roof and hood damage to V1,claimant,25692,76,3,0,0.45,214
P0TVHHPBM,2022-10-20,2022-10-25,14071.86,CO,SUV,Weather Damage,V1 was reported stolen from insured’s driveway,insured,42642,30,3,1,0.33,5
YOFQEWAOU,2018-05-02,2018-08-16,44188.46,FL,Truck,Side-impact,Hailstorm caused significant roof and hood damage to V1,claimant,94018,44,5,0,0.47,106
AXEQBNHL1,2019-12-13,2020-02-21,64394.16,WA,Sedan,Side-impact,V2 turned left and struck the side of V1,claimant,90696,29,5,0,0.71,70
N13JCAT9M,2020-04-12,2020-12-20,51000.0,OR,Van,Side-impact,V2 rear-ended V1 while stopped at a red light,insured,100000,47,2,0,0.51,252
X2X18HAFE,2018-12-06,2019-11-21,14191.23,CO,Truck,Weather Damage,V1 was damaged by falling tree during storm,insured,20567,60,4,0,0.69,350
YUHZ1GV0E,2018-06-04,2018-09-15,10009.44,CT,Van,Head-on Collision,V1 was damaged by falling tree during storm,insured,15888,42,0,0,0.63,103
38DALY8OZ,2020-02-16,2020-05-01,7385.44,IA,Sedan,Head-on Collision,Hailstorm caused significant roof and hood damage to V1,insured,92318,33,0,0,0.08,75
CYWD14VE9,2022-11-15,2023-01-03,3524.6,UT,Van,Rear-end Collision,V2 failed to stop and struck V1 from behind,insured,17623,18,0,0,0.2,49
2MPNSM43D,2018-10-22,2019-01-09,1000.0,IN,Truck,Rear-end Collision,V2 crossed centerline and hit V1 head-on,claimant,100000,31,2,0,0.01,79
8W3ZP08J3,2018-02-06,2018-05-13,538.23,AL,Van,Rear-end Collision,V2 failed to stop and struck V1 from behind,claimant,17941,80,3,0,0.03,96
TRP0J43D5,2018-05-24,2018-09-27,3158.33,NE,Truck,Head-on Collision,V2 turned left and struck the side of V1,claimant,45119,64,3,0,0.07,126
IQVNB4GH2,2019-04-11,2019-12-04,29982.89,MA,Truck,Side-impact,V2 turned left and struck the side of V1,claimant,96719,80,4,0,0.31,237
M5ZJA8DZR,2023-01-01,2023-04-10,71000.0,NE,Sedan,Backing Collision,V2 entered wrong lane and collided with V1,claimant,100000,27,0,0,0.71,99
1YXR2DHYL,2018-01-30,2018-12-23,88532.02,WV,Sedan,Backing Collision,V2 rear-ended V1 while stopped at a red light,claimant,94183,26,2,1,0.94,327
URTP0LZJJ,2020-11-19,2021-08-22,242.12,WA,Van,Rear-end Collision,V1 was damaged by falling tree during storm,claimant,24212,35,4,0,0.01,276
EGET1GHR0,2020-04-05,2020-09-11,750.0,ND,Sedan,Rear-end Collision,V2 failed to stop and struck V1 from behind,claimant,15000,36,0,0,0.05,159
9SKDGIGAT,2019-05-05,2019-05-10,63048.34,SD,Sedan,Side-impact,V2 entered wrong lane and collided with V1,insured,94102,61,2,0,0.67,5
J9TZE5R5U,2019-02-24,2019-05-02,15575.28,VT,Sedan,Head-on Collision,V2 crossed centerline and hit V1 head-on,insured,21336,52,2,0,0.73,67
QPGB7R3OC,2021-08-08,2022-05-20,4490.08,DE,Van,Rear-end Collision,V1 was missing after being parked overnight,claimant,28063,18,1,0,0.16,285
WBFUK9E1V,2020-03-17,2020-12-03,791.95,VI,Van,Weather Damage,V2 failed to stop and struck V1 from behind,insured,15839,71,2,0,0.05,261
2ISQP49KW,2018-10-22,2019-07-27,1000.0,NE,Sedan,Rear-end Collision,V1 struck V2 while reversing from parking spot,insured,100000,80,4,0,0.01,278
V08HHXFGC,2020-10-04,2020-10-15,60000.0,NY,Coupe,Weather Damage,V2 failed to stop and struck V1 from behind,insured,100000,47,2,0,0.6,11
AQVKIZZQY,2021-09-13,2021-11-26,534.63,NE,Coupe,Side-impact,V2 entered wrong lane and collided with V1,claimant,53463,56,1,0,0.01,74
72WX7PTX6,2019-08-14,2019-08-19,83237.28,AS,Coupe,Side-impact,V2 rear-ended V1 while stopped at a red light,claimant,84936,62,1,1,0.98,5
3CFL0UKEY,2018-08-07,2019-08-07,13930.5,FL,Van,Theft,Hailstorm caused significant roof and hood damage to V1,claimant,18825,74,5,1,0.74,365
Z7SRCBPLJ,2020-09-01,2020-09-06,7950.0,DE,Truck,Side-impact,V2 crossed centerline and hit V1 head-on,claimant,15000,74,4,1,0.53,5
D84U89YJB,2019-01-01,2019-01-06,58448.94,NE,Sedan,Theft,V1 struck V2 while reversing from parking spot,insured,99066,38,5,1,0.59,5
1QX6GVWRD,2021-11-01,2022-07-15,175.18,NE,Coupe,Weather Damage,V2 rear-ended V1 while stopped at a red light,insured,17518,24,4,0,0.01,256
MLY4LYK83,2021-10-01,2022-08-07,86546.73,IN,Van,Backing Collision,V1 was missing after being parked overnight,claimant,99479,80,5,1,0.87,310
TQLL8OS9X,2022-02-06,2022-02-11,15577.32,VI,Coupe,Weather Damage,V2 rear-ended V1 while stopped at a red light,claimant,23602,73,2,1,0.66,5
TOGN1W1HT,2018-08-27,2019-02-15,30977.73,IN,Truck,Head-on Collision,V2 crossed centerline and hit V1 head-on,insured,49171,30,1,0,0.63,172
7PZE9VIFT,2018-09-30,2018-10-05,52327.14,KY,SUV,Weather Damage,V2 failed to stop and struck V1 from behind,claimant,91802,56,1,1,0.57,5
TD96QE3RZ,2018-03-11,2018-10-13,12362.49,PA,SUV,Side-impact,V2 was behind V1 when it began backing up,claimant,19623,33,3,0,0.63,216
SJ49ITN7S,2021-09-11,2021-09-16,6328.14,TX,SUV,Backing Collision,V2 turned left and struck the side of V1,claimant,45201,18,3,1,0.14,5
55J2O7S3K,2020-08-25,2021-05-13,15783.66,IA,SUV,Rear-end Collision,V2 was behind V1 when it began backing up,claimant,19486,66,0,0,0.81,261
KV9RFTMTT,2020-03-20,2020-12-01,36000.0,AS,Truck,Weather Damage,V1 was missing after being parked overnight,insured,100000,79,0,0,0.36,256
QLGZUI1B0,2018-10-09,2019-06-18,58825.8,AS,SUV,Weather Damage,V2 entered wrong lane and collided with V1,claimant,89130,55,4,1,0.66,252
Z3NX39RBS,2022-05-03,2023-01-04,38000.0,IN,SUV,Backing Collision,V2 turned left and struck the side of V1,claimant,100000,78,1,0,0.38,246
V55PSQ0OX,2020-12-20,2021-11-21,88197.0,FL,SUV,Side-impact,V2 ran a stop sign and hit the side of V1,claimant,88197,80,5,1,1.0,336
FQ8MYX444,2018-05-13,2018-05-18,8850.0,CO,SUV,Theft,V1 was missing after being parked overnight,claimant,15000,61,2,1,0.59,5
NLZ15BCW7,2019-04-25,2019-05-04,10650.0,AK,SUV,Head-on Collision,V2 crossed centerline and hit V1 head-on,claimant,15000,56,4,0,0.71,9
90PDW5PY6,2018-11-11,2019-01-20,75897.67,IN,Van,Side-impact,V2 entered wrong lane and collided with V1,claimant,96073,58,5,0,0.79,70
B2KNFTU2G,2022-06-06,2022-08-28,65666.3,AS,SUV,Weather Damage,Hailstorm caused significant roof and hood damage to V1,insured,93809,33,4,0,0.7,83
C5WI6FQJJ,2022-12-04,2022-12-09,31390.73,AL,SUV,Side-impact,V1 was damaged by falling tree during storm,claimant,43001,73,1,0,0.73,5
A26YFPMVX,2021-10-14,2022-07-17,58076.02,MA,Van,Backing Collision,V1 was missing after being parked overnight,claimant,93671,47,0,0,0.62,276
PJ4HNRIUU,2020-09-04,2020-09-09,8550.0,OR,Truck,Rear-end Collision,V2 rear-ended V1 while stopped at a red light,claimant,15000,80,1,0,0.57,5
9K9XJUY0B,2021-08-10,2021-09-28,4207.93,ND,Coupe,Head-on Collision,V1 struck V2 while reversing from parking spot,insured,22147,42,1,0,0.19,49
VR6K2VMWW,2021-07-28,2022-03-20,46083.09,FL,SUV,Side-impact,V2 turned left and struck the side of V1,insured,90359,47,0,0,0.51,235
YZX4W6XLP,2022-05-28,2022-11-26,5415.58,IL,Coupe,Rear-end Collision,V2 was behind V1 when it began backing up,claimant,23546,29,1,0,0.23,182
U0DK0GET8,2022-12-01,2022-12-06,2550.0,WV,Sedan,Rear-end Collision,V2 rear-ended V1 while stopped at a red light,insured,15000,80,0,0,0.17,5
T63J3R30M,2018-05-05,2018-12-19,5178.83,IA,Truck,Weather Damage,V1 was missing after being parked overnight,insured,27257,80,1,0,0.19,228
E8F840982,2022-10-08,2023-02-24,10011.0,VT,Coupe,Backing Collision,V1 was missing after being parked overnight,insured,21300,21,5,0,0.47,139
N2ATQYYV3,2022-06-20,2022-07-24,5400.0,WA,Truck,Backing Collision,V1 was reported stolen from insured’s driveway,insured,15000,31,1,0,0.36,34
7DIA5U6HC,2020-05-18,2020-06-27,1430.61,AK,Coupe,Head-on Collision,V2 crossed centerline and hit V1 head-on,insured,47687,59,4,0,0.03,40
36KOF8KRD,2021-09-10,2021-09-15,78828.42,AK,Coupe,Weather Damage,V1 was reported stolen from insured’s driveway,insured,94974,36,4,1,0.83,5
5EQY08P0F,2018-01-01,2018-01-30,835.0,KY,Sedan,Head-on Collision,V1 was damaged by falling tree during storm,insured,16700,58,3,0,0.05,29
ODRO8BNP8,2021-04-07,2021-11-04,2189.52,KY,Coupe,Backing Collision,V2 entered wrong lane and collided with V1,claimant,24328,61,0,0,0.09,211
4DYT9MOGE,2019-04-18,2019-05-14,14625.86,PA,Truck,Backing Collision,V2 was behind V1 when it began backing up,insured,25217,58,3,0,0.58,26
4QXXVA2IE,2022-01-26,2022-06-15,36704.25,NY,Van,Theft,V2 failed to stop and struck V1 from behind,insured,48939,32,1,0,0.75,140
UC1HH5LF6,2020-07-09,2021-02-23,65560.84,FL,SUV,Weather Damage,V2 was behind V1 when it began backing up,claimant,97852,80,3,1,0.67,229
A4FEJGXAA,2021-05-30,2021-06-17,990.16,CT,SUV,Rear-end Collision,V2 was behind V1 when it began backing up,claimant,99016,23,0,0,0.01,18
2ILGB0S0R,2021-08-05,2021-10-12,63516.57,KY,Sedan,Theft,V1 struck V2 while reversing from parking spot,claimant,87009,65,5,1,0.73,68
2SDS8B25S,2020-08-03,2020-08-08,11700.0,OH,Van,Backing Collision,V2 rear-ended V1 while stopped at a red light,insured,15000,38,1,0,0.78,5
Q8CROYR6C,2020-04-17,2021-02-17,45000.0,IN,Coupe,Rear-end Collision,V1 was damaged by falling tree during storm,insured,100000,38,0,0,0.45,306
CVCJWTL9T,2021-10-30,2022-08-15,4547.88,AK,SUV,Head-on Collision,V2 was behind V1 when it began backing up,insured,16844,18,4,0,0.27,289
QVDZ4X1ZH,2019-06-07,2020-04-16,7359.71,AK,Sedan,Theft,Hailstorm caused significant roof and hood damage to V1,claimant,23741,36,1,0,0.31,314
QIMQODPXN,2019-02-14,2019-02-19,19310.13,KY,Coupe,Rear-end Collision,V2 rear-ended V1 while stopped at a red light,claimant,91953,25,1,0,0.21,5
F7C3DD03U,2022-01-14,2022-04-10,12641.12,VT,Truck,Theft,V2 ran a stop sign and hit the side of V1,insured,26896,38,0,0,0.47,86
VULEMX15Z,2019-12-30,2020-01-04,4000.0,AL,Truck,Weather Damage,Hailstorm caused significant roof and hood damage to V1,claimant,100000,41,4,1,0.04,5
8VMUHXID4,2020-09-14,2021-07-19,59432.1,VT,Sedan,Theft,Hailstorm caused significant roof and hood damage to V1,insured,91434,60,1,0,0.65,308
N1U3493WX,2020-06-04,2020-08-10,43340.0,KY,Sedan,Side-impact,V1 struck V2 while reversing from parking spot,insured,43340,66,4,0,1.0,67
A73JGZLMA,2019-06-08,2019-06-13,864.25,DE,Truck,Head-on Collision,V2 turned left and struck the side of V1,claimant,86425,53,1,0,0.01,5
5UOFWB0HP,2020-05-18,2020-06-09,4071.46,AZ,Truck,Theft,V2 failed to stop and struck V1 from behind,insured,17702,39,2,0,0.23,22
MNZ1UDBFW,2018-03-31,2018-07-03,30085.2,ID,Van,Weather Damage,V2 entered wrong lane and collided with V1,claimant,50142,80,5,1,0.6,94
YJXRPJ1EP,2020-04-29,2021-03-11,51000.0,MT,Truck,Backing Collision,V1 was missing after being parked overnight,insured,100000,18,3,0,0.51,316
KYRYBOVAK,2020-01-14,2020-12-20,14000.0,AS,SUV,Theft,V1 was reported stolen from insured’s driveway,claimant,100000,68,1,0,0.14,341
HEJLA0GNZ,2022-04-03,2022-12-11,44028.0,UT,Sedan,Rear-end Collision,V2 turned left and struck the side of V1,claimant,97840,69,0,0,0.45,252
S43C5BA75,2022-10-29,2022-11-03,4200.0,AS,Sedan,Theft,V2 was behind V1 when it began backing up,claimant,15000,66,1,1,0.28,5
UUZPEAL2W,2021-05-10,2021-09-11,21234.96,ND,SUV,Rear-end Collision,V2 crossed centerline and hit V1 head-on,claimant,88479,44,4,0,0.24,124
37D4IVSOL,2022-09-05,2022-11-01,66167.4,NE,Coupe,Weather Damage,V1 struck V2 while reversing from parking spot,insured,97305,54,2,0,0.68,57
MLGSES6M0,2020-10-07,2021-08-07,34751.66,OR,Van,Side-impact,V1 struck V2 while reversing from parking spot,claimant,48946,33,0,0,0.71,304
33IFHV1XG,2020-02-22,2020-11-29,34553.02,CO,Sedan,Backing Collision,V2 crossed centerline and hit V1 head-on,claimant,90929,35,1,0,0.38,281
1R11Q7UWW,2018-07-09,2018-08-12,11100.0,IA,SUV,Theft,V1 was damaged by falling tree during storm,claimant,15000,72,1,0,0.74,34
5WFCPKJCS,2021-02-20,2021-02-25,22090.5,AL,SUV,Side-impact,V2 turned left and struck the side of V1,claimant,88362,26,1,0,0.25,5
LQC3C54WS,2018-03-28,2018-04-08,150.0,KY,Sedan,Rear-end Collision,Hailstorm caused significant roof and hood damage to V1,insured,15000,21,5,0,0.01,11
QT26Q3XLR,2019-09-05,2020-01-12,3478.6,VT,SUV,Side-impact,V2 turned left and struck the side of V1,claimant,17393,38,1,0,0.2,129
FCD6MZSGI,2019-08-13,2019-08-18,9074.4,TX,SUV,Rear-end Collision,V2 failed to stop and struck V1 from behind,insured,90744,46,1,0,0.1,5
PPSFNKOMV,2020-01-25,2020-08-06,10200.0,DC,Van,Rear-end Collision,V2 was behind V1 when it began backing up,claimant,15000,27,2,0,0.68,194
2XCDYK0X6,2022-12-25,2023-08-27,28373.8,CO,SUV,Theft,V2 entered wrong lane and collided with V1,claimant,54565,25,3,1,0.52,245
5MUFM8ZOV,2020-11-17,2021-03-25,3624.11,AK,SUV,Theft,V2 crossed centerline and hit V1 head-on,claimant,15757,23,5,1,0.23,128
7LN23Y30Y,2022-03-18,2022-03-23,10200.0,IN,Truck,Backing Collision,V1 was missing after being parked overnight,claimant,15000,80,4,1,0.68,5
SXPNNGH8R,2020-12-28,2021-09-09,66693.85,AS,Sedan,Weather Damage,V2 turned left and struck the side of V1,insured,93935,31,5,0,0.71,255
IEC4D145B,2018-06-23,2019-06-08,18082.31,SC,Sedan,Head-on Collision,V2 ran a stop sign and hit the side of V1,insured,22889,33,5,0,0.79,350
M1ENF313F,2019-08-02,2020-04-29,33597.15,AZ,SUV,Backing Collision,V1 was damaged by falling tree during storm,claimant,50145,49,4,0,0.67,271
POYIPK0QT,2022-10-07,2023-07-08,6450.0,FL,Van,Side-impact,V2 ran a stop sign and hit the side of V1,insured,15000,76,5,0,0.43,274
L3Q4N89QK,2022-06-03,2022-08-14,15491.88,AK,Coupe,Weather Damage,V1 was missing after being parked overnight,claimant,43033,53,4,1,0.36,72
NS832EJX5,2019-02-27,2019-03-04,4198.62,CT,SUV,Rear-end Collision,V2 rear-ended V1 while stopped at a red light,insured,22098,70,1,0,0.19,5
TD44K1J6F,2022-11-10,2023-02-25,4008.26,IN,Truck,Backing Collision,V2 was behind V1 when it began backing up,claimant,23578,51,2,0,0.17,107
P8HQMABSI,2018-05-22,2019-01-18,27014.63,WA,Coupe,Theft,V1 was damaged by falling tree during storm,insured,50971,59,3,0,0.53,241
9NB74X2EK,2018-01-27,2018-05-21,38000.0,NE,Sedan,Side-impact,V1 was reported stolen from insured’s driveway,insured,100000,80,1,0,0.38,114
3ZEZQACJ4,2019-10-09,2019-12-10,5551.8,VT,Van,Backing Collision,V2 entered wrong lane and collided with V1,claimant,18506,79,5,0,0.3,62
T0SEKKBP2,2021-08-22,2021-10-24,35122.4,VT,Coupe,Side-impact,V1 was reported stolen from insured’s driveway,insured,87806,80,3,0,0.4,63
QD6VASIFP,2021-02-05,2021-05-20,937.45,WA,Truck,Head-on Collision,V2 entered wrong lane and collided with V1,claimant,93745,46,3,0,0.01,104
WIOXD9CSS,2021-05-24,2021-05-30,20834.76,SD,Coupe,Weather Damage,V2 ran a stop sign and hit the side of V1,insured,23948,56,4,1,0.87,6
9TOQW9JA2,2021-04-24,2021-07-18,73000.0,SC,Truck,Side-impact,V1 was damaged by falling tree during storm,insured,100000,33,1,0,0.73,85
M0W10LBT3,2022-11-16,2023-03-10,10292.4,PA,Van,Rear-end Collision,V2 turned left and struck the side of V1,insured,57180,20,0,0,0.18,114
G2QZW3C1Q,2022-07-14,2022-09-24,14242.88,KY,Van,Rear-end Collision,V2 rear-ended V1 while stopped at a red light,claimant,15152,80,4,1,0.94,72
KBHB7S9TJ,2018-06-07,2018-08-06,94096.0,WA,Van,Side-impact,V1 was damaged by falling tree during storm,claimant,94096,26,1,0,1.0,60
1GM25LEN6,2021-10-30,2022-02-05,15023.07,SD,Van,Theft,V2 ran a stop sign and hit the side of V1,claimant,18547,75,0,1,0.81,98
06N9RR7S2,2022-06-05,2022-10-18,9872.94,CO,Van,Rear-end Collision,V2 rear-ended V1 while stopped at a red light,claimant,29918,54,0,0,0.33,135
0CV3TLCXL,2018-12-22,2019-06-20,42911.56,VT,Sedan,Theft,V2 crossed centerline and hit V1 head-on,insured,93286,33,1,0,0.46,180
VPYMB5M9J,2018-10-14,2019-06-21,75000.0,DC,Sedan,Head-on Collision,V2 entered wrong lane and collided with V1,insured,100000,70,5,0,0.75,250
98CWN2Y8F,2019-11-18,2020-01-06,6000.0,AK,Sedan,Rear-end Collision,V2 turned left and struck the side of V1,insured,15000,46,0,0,0.4,49
V2BC2NNUV,2019-03-08,2019-03-21,9106.89,NY,Sedan,Theft,V1 was missing after being parked overnight,insured,15977,52,3,0,0.57,13
Y8N1UTOXI,2020-08-25,2021-06-01,59652.78,AL,Coupe,Weather Damage,Hailstorm caused significant roof and hood damage to V1,insured,89034,58,0,0,0.67,280
E0RNUJJQ9,2018-03-01,2018-06-13,16715.97,IN,Van,Side-impact,V1 was missing after being parked overnight,insured,20637,38,1,0,0.81,104
K6RE4Q6QD,2022-06-01,2023-01-13,238.17,NV,SUV,Theft,V1 was damaged by falling tree during storm,insured,23817,61,2,0,0.01,226
Y4LMCT64Z,2020-06-18,2020-11-22,12753.78,WV,Sedan,Rear-end Collision,V1 was reported stolen from insured’s driveway,insured,98106,67,2,0,0.13,157
7W2SEHE2A,2018-01-23,2018-03-27,15000.0,WV,Coupe,Theft,V2 entered wrong lane and collided with V1,insured,15000,49,4,1,1.0,63
TN2TWDL9Z,2022-03-03,2022-12-08,30709.84,AZ,Coupe,Theft,V2 entered wrong lane and collided with V1,claimant,50344,44,4,1,0.61,280
S13C9XQYM,2022-06-29,2023-06-29,150.0,KY,Coupe,Theft,V1 struck V2 while reversing from parking spot,claimant,15000,57,4,1,0.01,365
